geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment,geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,latitude,longitude,geom
TAN-000042,2021,EM.7604,3,12,15,332,350,682,TAN-000042,EM.7604,NATEMA,,TZA,Arusha,Arusha,Olorieni,-3.329539931,36.6726563,0101000020E610000064F9049A1956424001F8D2D4E5A20AC0
TAN-000045,2021,EM.3408,1,20,21,513,504,1017,TAN-000045,EM.3408,OLCHOKI,,TZA,Arusha,Arusha,Olorieni,-3.339634156,36.67141831,0101000020E61000005BB10109F15542401AFFC41C92B70AC0
TAN-000048,2021,EM.735,1,11,12,338,357,695,TAN-000048,EM.735,KISONGO,,TZA,Arusha,Arusha,Ilkiding'a,-3.317009675,36.69511761,0101000020E61000006EE9249DF9584240ED1F555E3C890AC0
TAN-000051,2021,EM.4578,1,10,11,170,182,352,TAN-000051,EM.4578,LESIRAA,,TZA,Arusha,Arusha,Kisongo,-3.397378302,36.50537781,0101000020E61000007C095738B040424010D7D9ACD42D0BC0
TAN-000054,2021,EM.14311,12,15,27,250,276,526,TAN-000054,EM.14311,YAKINI,,TZA,Arusha,Arusha,Kisongo,-3.379835,36.524137,0101000020E6100000D1CFD4EB164342406002B7EEE6090BC0
TAN-000057,2021,EM.3022,9,4,13,283,371,654,TAN-000057,EM.3022,LEMUGUR,,TZA,Arusha,Monduli,Moita,-3.431959762,36.56140491,0101000020E6100000C521B81DDC474240D4D2D751A7740BC0
TAN-000060,2021,EM.2011,2,12,14,273,279,552,TAN-000060,EM.2011,KISERIAN,,TZA,Arusha,Arusha,Mlangarini,-3.449549452,36.74017041,0101000020E61000005D356CE7BD5E4240A1321262AD980BC0
TAN-000063,2021,EM.6944,4,6,10,264,242,506,TAN-000063,EM.6944,MANYIRE,,TZA,Arusha,Arusha,Mlangarini,-3.454369582,36.80627208,0101000020E610000092A36BEC33674240C4E5F7848CA20BC0
TAN-000066,2021,EM.4035,3,9,12,320,303,623,TAN-000066,EM.4035,MLANGARINI,,TZA,Arusha,Arusha,Mlangarini,-3.447273332,36.78700034,0101000020E6100000D51E596DBC644240EC806A0A04940BC0
TAN-000069,2021,EM.9230,3,8,11,240,222,462,TAN-000069,EM.9230,MUUNGANO,,TZA,Arusha,Arusha,Mlangarini,-3.482433927,36.73523441,0101000020E610000003EC40291C5E42401B91975106DC0BC0
TAN-000072,2021,EM.11560,2,20,22,307,275,582,TAN-000072,EM.11560,OLOMITU,,TZA,Arusha,Arusha,Mlangarini,-3.41310573,36.75784252,0101000020E61000008875D3FB00614240241F81600A4E0BC0
TAN-000075,2021,EM.14966,8,5,13,115,100,215,TAN-000075,EM.14966,GOODWILL,,TZA,Arusha,Arusha,Moivo,-3.35192,36.692117,0101000020E6100000B900344A975842407077D66EBBD00AC0
TAN-000078,2021,EM.13030,4,12,16,339,386,725,TAN-000078,EM.13030,MOIVO,,TZA,Arusha,Arusha,Moivo,-3.350251292,36.70392709,0101000020E6100000C3286B481A5A4240892CA48C50CD0AC0
TAN-000081,2021,EM.4034,4,4,8,256,236,492,TAN-000081,EM.4034,LIKAMBA,,TZA,Arusha,Arusha,Mussa,-3.314554656,36.57237282,0101000020E61000007882378343494240A398423B35840AC0
TAN-000084,2021,EM.14568,9,3,12,71,111,182,TAN-000084,EM.14568,LIKAMBA INTEGRITY,,TZA,Arusha,Arusha,Moivo,-3.343437093,36.68660817,0101000020E610000080A8C9C6E2574240B35855F25BBF0AC0
TAN-000086,2021,EM.1172,4,4,8,260,287,547,TAN-000086,EM.1172,MUSA,,TZA,Arusha,Arusha,Mussa,-3.325672976,36.52186485,0101000020E61000004AD7A777CC42424050E3E86EFA9A0AC0
TAN-000089,2021,EM.1562,1,5,6,119,121,240,TAN-000089,EM.1562,NENGUNGU,,TZA,Arusha,Arusha,Moivo,-3.343437093,36.68660817,0101000020E610000080A8C9C6E2574240B35855F25BBF0AC0
TAN-000092,2021,EM.4584,8,3,11,398,433,831,TAN-000092,EM.4584,OLCHOROVUS,,TZA,Arusha,Arusha,Mussa,-3.298987965,36.52781272,0101000020E61000000A68015E8F434240AB945CCD53640AC0
TAN-000095,2021,EM.4581,3,3,6,181,159,340,TAN-000095,EM.4581,MARURANI,,TZA,Arusha,Arusha,Nduruma,-3.493588,36.813139,0101000020E6100000130D52F0146842409A95ED43DEF20BC0
TAN-000098,2021,EM.13506,2,5,7,167,159,326,TAN-000098,EM.13506,MSHIKAMANO,,TZA,Arusha,Arusha,Nduruma,-3.480512401,36.81322025,0101000020E6100000F418E5991768424083F0BCE216D80BC0
TAN-000100,2021,EM.7603,3,7,10,268,300,568,TAN-000100,EM.7603,MZIMUNI,,TZA,Arusha,Arusha,Nduruma,-3.505067,36.80590294,0101000020E61000006F86D9D327674240874F3A91600A0CC0
TAN-000103,2021,EM.1173,7,8,15,254,245,499,TAN-000103,EM.1173,NDURUMA,,TZA,Arusha,Arusha,Nduruma,-3.474652475,36.79310841,0101000020E6100000F8908D938465424042B9C89816CC0BC0
TAN-000106,2021,EM.11559,5,2,7,145,159,304,TAN-000106,EM.11559,OLDENDERETI,,TZA,Arusha,Arusha,Nduruma,-3.505499178,36.77842571,0101000020E610000065682374A3634240AE512D27430B0CC0
TAN-000109,2021,EM.11562,5,2,7,225,193,418,TAN-000109,EM.11562,UMOJA,,TZA,Arusha,Arusha,Nduruma,-3.515313424,36.85399564,0101000020E6100000015DA8BA4F6D42408328FAA45C1F0CC0
TAN-000112,2021,EM.2600,6,13,19,508,704,1212,TAN-000112,EM.2600,OLDONYOSAMBU,,TZA,Arusha,Ngorongoro,Pinyinyi,-2.212404036,35.80490753,0101000020E6100000BBD3BE3507E741406B4421E300B301C0
TAN-000115,2021,EM.2348,5,1,6,239,295,534,TAN-000115,EM.2348,OLDONYOSAMBU,,TZA,Arusha,Ngorongoro,Pinyinyi,-2.212404036,35.80490753,0101000020E6100000BBD3BE3507E741406B4421E300B301C0
TAN-000118,2021,EM.6945,2,9,11,263,340,603,TAN-000118,EM.6945,MBUYUNI,,TZA,Arusha,Arusha,Oljoro,-3.565600437,36.65584366,0101000020E6100000967E5FAFF25342407F259C8559860CC0
TAN-000121,2021,EM.6946,5,3,8,398,390,788,TAN-000121,EM.6946,MIRONGOINE,,TZA,Arusha,Arusha Urban,Olasiti,-3.405534203,36.60603957,0101000020E6100000AF9D62B4924D4240FC5A5AB7883E0BC0
TAN-000124,2021,EM.3023,3,4,7,253,250,503,TAN-000124,EM.3023,OLJORO,,TZA,Arusha,Arusha,Oljoro,-3.590043545,36.68790039,0101000020E610000053FAB61E0D5842405FED07C068B80CC0
TAN-000127,2021,EM.9231,2,5,7,94,64,158,TAN-000127,EM.9231,SITTI MWINYI,,TZA,Arusha,Arusha,Oljoro,-3.573593,36.660859,0101000020E610000036221807975442405AB741EDB7960CC0
TAN-000128,2021,EM.6937,2,15,17,524,452,976,TAN-000128,EM.6937,EMAOI,,TZA,Arusha,Arusha,Olmotonyi,-3.308792324,36.64896928,0101000020E6100000B6DAE46C11534240CBAF261C68780AC0
TAN-000131,2021,EM.2210,2,9,11,273,312,585,TAN-000131,EM.2210,OLMOTONYI,,TZA,Arusha,Arusha,Olmotonyi,-3.291175584,36.65706025,0101000020E610000034A0DE8C1A544240BD6355DD53540AC0
TAN-000134,2021,EM.991,1,12,13,250,297,547,TAN-000134,EM.991,OLTUROTO,,TZA,Arusha,Arusha,Moivo,-3.343437093,36.68660817,0101000020E610000080A8C9C6E2574240B35855F25BBF0AC0
TAN-000137,2021,EM.11557,2,14,16,402,398,800,TAN-000137,EM.11557,EKENYWA,,TZA,Arusha,Arusha,Oltrumet,-3.295716087,36.62022865,0101000020E610000068E503A7634F42405B875465A05D0AC0
TAN-000140,2021,EM.13507,12,7,19,148,139,287,TAN-000140,EM.13507,NEW VISION,,TZA,Arusha,Arusha,Moivo,-3.343437093,36.68660817,0101000020E610000080A8C9C6E2574240B35855F25BBF0AC0
TAN-000143,2021,EM.7605,5,26,31,534,571,1105,TAN-000143,EM.7605,NGARAMTONI,,TZA,Arusha,Arusha,Oltrumet,-3.310238002,36.63734556,0101000020E6100000B439108A94514240F487C40F5E7B0AC0
TAN-000146,2021,EM.2856,1,11,12,446,540,986,TAN-000146,EM.2856,SAMBASHA,,TZA,Arusha,Arusha,Olmotonyi,-3.296502471,36.66969344,0101000020E6100000A892BF83B8554240880601B03C5F0AC0
TAN-000149,2021,EM.11084,8,8,16,564,626,1190,TAN-000149,EM.11084,TIMBOLO,,TZA,Arusha,Arusha,Olmotonyi,-3.297867221,36.66960032,0101000020E610000044E59976B555424097F6A53508620AC0
TAN-000152,2021,EM.8200,9,38,47,1053,1080,2133,TAN-000152,EM.8200,BARAA,,TZA,Arusha,Arusha Urban,Baraa,-3.389402299,36.7383232,0101000020E610000065F0E65F815E4240A789D9F37E1D0BC0
TAN-000155,2021,EM.14320,12,15,27,228,255,483,TAN-000155,EM.14320,UHURU PEAK,,TZA,Arusha,Arusha Urban,Baraa,-3.370713675,36.73701719,0101000020E6100000E6D14B94565E4240967032BB38F70AC0
TAN-000158,2021,EM.13034,7,5,12,110,100,210,TAN-000158,EM.13034,ENALEPO,,TZA,Arusha,Arusha Urban,Sokoni I,-3.433151718,36.67371797,0101000020E610000052F0F3633C5642403521783F18770BC0
TAN-000161,2021,EM.10890,4,5,9,61,53,114,TAN-000161,EM.10890,ARUSHA MODERN,,TZA,Arusha,Arusha Urban,Elerai,-3.367749,36.662811,0101000020E6100000EB36A8FDD6544240F817416326F10AC0
TAN-000164,2021,EM.14314,2,12,14,346,340,686,TAN-000164,EM.14314,AZIMIO,,TZA,Arusha,Arusha Urban,Elerai,-3.365303837,36.66281265,0101000020E610000003907F0BD75442408225086B24EC0AC0
TAN-000167,2021,EM.2013,5,14,19,455,492,947,TAN-000167,EM.2013,BURKA,,TZA,Arusha,Arusha Urban,Elerai,-3.364765402,36.66069119,0101000020E610000015E7668791544240196B821F0AEB0AC0
TAN-000170,2021,EM.11086,5,30,35,912,849,1761,TAN-000170,EM.11086,ELERAI,,TZA,Arusha,Arusha Urban,Elerai,-3.37245214,36.65827125,0101000020E6100000D252793B4254424070000530C8FA0AC0
TAN-000173,2021,EM.12383,4,5,9,76,87,163,TAN-000173,EM.12383,MOUNT MERU,,TZA,Arusha,Arusha Urban,Moshono,-3.443944,36.713439,0101000020E610000071581AF8515B42401C0B0A83328D0BC0
TAN-000176,2021,EM.13511,12,8,20,291,271,562,TAN-000176,EM.13511,NALOPA,,TZA,Arusha,Arusha Urban,Engutoto,-3.446360719,36.71099546,0101000020E6100000F92634E6015B4240A597929125920BC0
TAN-000179,2021,EM.12385,9,7,16,119,134,253,TAN-000179,EM.12385,TUISHIME,,TZA,Arusha,Arusha Urban,Engutoto,-3.420074259,36.70772071,0101000020E610000071139C97965A4240195FA2E44F5C0BC0
TAN-000182,2021,EM.1563,6,31,37,501,523,1024,TAN-000182,EM.1563,KALOLENI,,TZA,Arusha,Arusha Urban,Kaloleni,-3.367503039,36.69034045,0101000020E61000008FED6B135D584240227CED6EA5F00AC0
TAN-000188,2021,EM.4837,2,24,26,372,435,807,TAN-000188,EM.4837,KALOLENI,,TZA,Arusha,Arusha Urban,Kaloleni,-3.367503039,36.69034045,0101000020E61000008FED6B135D584240227CED6EA5F00AC0
TAN-000194,2021,EM.6152,8,17,25,675,681,1356,TAN-000194,EM.6152,KALOLENI,,TZA,Arusha,Arusha Urban,Kaloleni,-3.367503039,36.69034045,0101000020E61000008FED6B135D584240227CED6EA5F00AC0
TAN-000200,2021,EM.13036,6,16,22,399,360,759,TAN-000200,EM.13036,MAKUMBUSHO,,TZA,Arusha,Arusha Urban,Kaloleni,-3.366906554,36.69039582,0101000020E6100000F918E6E35E584240C8F110B46CEF0AC0
TAN-000203,2021,EM.295,3,31,34,656,675,1331,TAN-000203,EM.295,UHURU,,TZA,Arusha,Arusha Urban,Kati,-3.374163,36.688256,0101000020E61000004DA3C9C51858424069FCC22B49FE0AC0
TAN-000206,2021,EM.1564,4,15,19,522,538,1060,TAN-000206,EM.1564,KIMANDOLU,,TZA,Arusha,Arusha Urban,Kimandolu,-3.373007391,36.71670983,0101000020E61000002E49D025BD5B42401C178C4CEBFB0AC0
TAN-000209,2021,EM.13888,8,2,10,133,143,276,TAN-000209,EM.13888,LADY OF MERCY,,TZA,Arusha,Arusha Urban,Kimandolu,-3.375096,36.718853,0101000020E6100000D5D00660035C424022E2E65432000BC0
TAN-000211,2021,EM.5792,7,15,22,615,619,1234,TAN-000211,EM.5792,LEMARA,,TZA,Arusha,Arusha Urban,Lemara,-3.40196676,36.69601578,0101000020E6100000CB4C8A0B175942408F3B42593A370BC0
TAN-000214,2021,EM.11566,6,7,13,118,108,226,TAN-000214,EM.11566,NOTRE DAME,,TZA,Arusha,Arusha Urban,Lemara,-3.417685,36.698958,0101000020E610000087A3AB7477594240F33CB83B6B570BC0
TAN-000217,2021,EM.12384,13,14,27,299,338,637,TAN-000217,EM.12384,SHALOM,,TZA,Arusha,Arusha Urban,Lemara,-3.417685,36.698958,0101000020E610000087A3AB7477594240F33CB83B6B570BC0
TAN-000220,2021,EM.8275,2,27,29,640,592,1232,TAN-000220,EM.8275,LEVOLOSI,,TZA,Arusha,Arusha Urban,Levolosi,-3.366305468,36.68093467,0101000020E6100000682E05DE28574240703FAB8F31EE0AC0
TAN-000223,2021,EM.13887,6,3,9,91,100,191,TAN-000223,EM.13887,HOPE,,TZA,Arusha,Arusha Urban,Moshono,-3.414855,36.735931,0101000020E6100000698EACFC325E42401AA88C7F9F510BC0
TAN-000226,2021,EM.1770,3,14,17,264,283,547,TAN-000226,EM.1770,MOSHONO,,TZA,Arusha,Arusha Urban,Moshono,-3.414855,36.735931,0101000020E6100000698EACFC325E42401AA88C7F9F510BC0
TAN-000229,2021,EM.6950,2,15,17,411,369,780,TAN-000229,EM.6950,OLKEREYAN,,TZA,Arusha,Arusha Urban,Moshono,-3.414855,36.735931,0101000020E6100000698EACFC325E42401AA88C7F9F510BC0
TAN-000230,2021,EM.13515,2,15,17,291,299,590,TAN-000230,EM.13515,WEMA,,TZA,Arusha,Arusha Urban,Moshono,-3.414855,36.735931,0101000020E6100000698EACFC325E42401AA88C7F9F510BC0
TAN-000233,2021,EM.12380,3,6,9,43,38,81,TAN-000233,EM.12380,LISE,,TZA,Arusha,Arusha Urban,Ngarenaro,-3.365620175,36.67409127,0101000020E6100000A5956B9F48564240F80F3345CAEC0AC0
TAN-000236,2021,EM.13510,2,29,31,761,701,1462,TAN-000236,EM.13510,MWANGAZA,,TZA,Arusha,Arusha Urban,Unga Ltd,-3.377309092,36.67818316,0101000020E6100000F072AEB4CE564240D6FC14A1BA040BC0
TAN-000239,2021,EM.11569,2,7,9,37,47,84,TAN-000239,EM.11569,SWIFTS,,TZA,Arusha,Arusha Urban,Ngarenaro,-3.368718,36.675485,0101000020E610000023F8DF4A765642407D923B6C22F30AC0
TAN-000240,2021,EM.14312,11,14,25,411,437,848,TAN-000240,EM.14312,ARUSHA ALLIANCE,,TZA,Arusha,Arusha Urban,Olasiti,-3.41581,36.652815,0101000020E61000004BAB21718F5342404FCC7A3194530BC0
TAN-000243,2021,EM.8201,4,26,30,868,833,1701,TAN-000243,EM.8201,BURKA ESTATE,,TZA,Arusha,Arusha Urban,Olasiti,-3.400281,36.622995,0101000020E61000002849D74CBE4F424071AE6186C6330BC0
TAN-000246,2021,EM.13508,41,13,54,705,678,1383,TAN-000246,EM.13508,LUCKY VICENT,,TZA,Arusha,Arusha Urban,Olasiti,-3.410138,36.654843,0101000020E6100000DC813AE5D153424058C6866EF6470BC0
TAN-000249,2021,EM.993,8,49,57,1680,1571,3251,TAN-000249,EM.993,OLASITI,,TZA,Arusha,Arusha Urban,Olasiti,-3.400644,36.646474,0101000020E61000006EDBF7A8BF52424080B56AD784340BC0
TAN-000252,2021,EM.11563,5,8,13,111,159,270,TAN-000252,EM.11563,ASSUMPTION,,TZA,Arusha,Arusha Urban,Oloirieni,-3.383073683,36.70735834,0101000020E61000002A6DD4B78A5A4240D28B63EF88100BC0
TAN-000255,2021,EM.14570,6,5,11,84,106,190,TAN-000255,EM.14570,BIBLE BAPTIST,,TZA,Arusha,Arusha Urban,Sokoni I,-3.433151718,36.67371797,0101000020E610000052F0F3633C5642403521783F18770BC0
TAN-000257,2021,EM.12381,6,7,13,146,123,269,TAN-000257,EM.12381,LOAMO,,TZA,Arusha,Arusha Urban,Sokoni I,-3.433151718,36.67371797,0101000020E610000052F0F3633C5642403521783F18770BC0
TAN-000260,2021,EM.7608,2,16,18,402,419,821,TAN-000260,EM.7608,OLOIRIEN,,TZA,Arusha,Arusha Urban,Kimandolu,-3.381232134,36.71225601,0101000020E61000002BAA76342B5B4240DDB6DD6EC30C0BC0
TAN-000263,2021,EM.2857,3,34,37,884,931,1815,TAN-000263,EM.2857,KIJENGE,,TZA,Arusha,Arusha Urban,Sekei,-3.377473565,36.70545553,0101000020E6100000F110E75D4C5A42407A3C46DC10050BC0
TAN-000266,2021,EM.11564,7,8,15,127,122,249,TAN-000266,EM.11564,KILIMANI,,TZA,Arusha,Arusha Urban,Moivo,-3.362278739,36.70204607,0101000020E6100000B97747A5DC59424037544065F2E50AC0
TAN-000269,2021,EM.657,3,9,12,165,145,310,TAN-000269,EM.657,NAURA,,TZA,Arusha,Arusha Urban,Sekei,-3.368775,36.700123,0101000020E6100000B51666A19D594240C1A8A44E40F30AC0
TAN-000272,2021,EM.13038,11,8,19,181,166,347,TAN-000272,EM.13038,PRIME,,TZA,Arusha,Arusha Urban,Sekei,-3.368775,36.700123,0101000020E6100000B51666A19D594240C1A8A44E40F30AC0
TAN-000275,2021,EM.302,2,27,29,866,865,1731,TAN-000275,EM.302,SANAWARI,,TZA,Arusha,Arusha Urban,Moivo,-3.359946558,36.69443288,0101000020E6100000FD6E362DE3584240965737A92BE10AC0
TAN-000278,2021,EM.12377,28,24,52,541,568,1109,TAN-000278,EM.12377,GREEN VALLEY,,TZA,Arusha,Arusha Urban,Sombetini,-3.402187247,36.66378571,0101000020E610000046001EEEF6544240BFDD85F2AD370BC0
TAN-000281,2021,EM.13035,9,5,14,128,120,248,TAN-000281,EM.13035,HIGH VIEW,,TZA,Arusha,Arusha Urban,Sombetini,-3.390431,36.662892,0101000020E6100000D86322A5D9544240B1C1C2499A1F0BC0
TAN-000284,2021,EM.2344,3,42,45,1067,1053,2120,TAN-000284,EM.2344,SOMBETINI,,TZA,Arusha,Arusha Urban,Sombetini,-3.390190864,36.66710668,0101000020E610000086C56EC063554240B69F40631C1F0BC0
TAN-000287,2021,EM.7607,5,12,17,566,579,1145,TAN-000287,EM.7607,MKONOO,,TZA,Arusha,Arusha Urban,Terrat,-3.491933,36.680992,0101000020E6100000386BF0BE2A574240D99596917AEF0BC0
TAN-000290,2021,EM.10549,2,10,12,323,323,646,TAN-000290,EM.10549,ENGIRA,,TZA,Arusha,Arusha Urban,Lemara,-3.394675565,36.69761622,0101000020E61000009207017D4B59424080A4A1A94B280BC0
TAN-000293,2021,EM.10891,6,3,9,70,75,145,TAN-000293,EM.10891,HIGHRIDGE,,TZA,Arusha,Arusha Urban,Oloirieni,-3.393820178,36.70661343,0101000020E6100000D761124F725A4240831E88318B260BC0
TAN-000296,2021,EM.2755,4,31,35,630,627,1257,TAN-000296,EM.2755,THEMI,,TZA,Arusha,Arusha Urban,Themi,-3.38094329,36.693412,0101000020E6100000B55373B9C1584240F571E1FE2B0C0BC0
TAN-000299,2021,EM.13512,3,22,25,624,617,1241,TAN-000299,EM.13512,SALEI,,TZA,Arusha,Arusha Urban,Unga Ltd,-3.380318,36.679798,0101000020E61000006FF1F09E035742401AA4E029E40A0BC0
TAN-000302,2021,EM.7609,5,4,9,268,261,529,TAN-000302,EM.7609,DUMBECHAND,,TZA,Arusha,Karatu,Baray,-3.609654752,35.28516904,0101000020E6100000DC504A6B80A441402687ADAB92E00CC0
TAN-000305,2021,EM.14578,3,5,8,92,107,199,TAN-000305,EM.14578,ENDESH,,TZA,Manyara,Karatu,Baray,-3.817911456,34.91017645,0101000020E6100000712B73A98074414096595429158B0EC0
TAN-000308,2021,EM.5796,7,5,12,354,322,676,TAN-000308,EM.5796,MANG'OLA NT,,TZA,Arusha,Karatu,Baray,-3.576107554,35.31068921,0101000020E6100000C515FEA9C4A74140B844FB46DE9B0CC0
TAN-000311,2021,EM.10720,4,1,5,249,234,483,TAN-000311,EM.10720,MATALA,,TZA,Singida,Mkalama,Mwangeza,-3.900619783,34.72249733,0101000020E61000000FE6E1CA7A5C4140C8EC102578340FC0
TAN-000314,2021,EM.10721,4,4,8,305,345,650,TAN-000314,EM.10721,MBUGANYEKUNDU,,TZA,Arusha,Karatu,Baray,-3.560149061,35.34765036,0101000020E6100000425297CE7FAC4140770A4F6E2F7B0CC0
TAN-000317,2021,EM.13893,5,0,5,68,85,153,TAN-000317,EM.13893,MOHEDAGEW,,TZA,Arusha,Karatu,Baray,-3.785075461,34.98025495,0101000020E6100000FEFE83FE787D4140D418AFA4D5470EC0
TAN-000319,2021,EM.14582,4,1,5,121,102,223,TAN-000319,EM.14582,NJORO,,TZA,Arusha,Karatu,Baray,-3.730468,35.107075,0101000020E61000000F9C33A2B48D41403C32569BFFD70DC0
TAN-000322,2021,EM.7612,8,8,16,395,450,845,TAN-000322,EM.7612,QANGDEND,,TZA,Arusha,Karatu,Baray,-3.529562093,35.36465565,0101000020E61000009C864D09ADAE41402A17F50C8B3C0CC0
TAN-000325,2021,EM.10029,6,2,8,283,266,549,TAN-000325,EM.10029,AYALALIYO,,TZA,Arusha,Karatu,Buger,-3.641636429,35.63024117,0101000020E610000013DF1EBEABD041405CD1B34712220DC0
TAN-000328,2021,EM.994,8,1,9,274,242,516,TAN-000328,EM.994,BUGER,,TZA,Arusha,Karatu,Kansay,-3.662764793,35.62435717,0101000020E610000029168DEFEACF41406E00B7A0574D0DC0
TAN-000331,2021,EM.12390,7,1,8,220,200,420,TAN-000331,EM.12390,GAMDI,,TZA,Arusha,Karatu,Kansay,-3.68178745,35.61853,0101000020E610000025CCB4FD2BCF4140FC9584FA4C740DC0
TAN-000334,2021,EM.5793,4,5,9,214,184,398,TAN-000334,EM.5793,CHANGARAWE,,TZA,Arusha,Karatu,Daa,-3.408751401,35.54844078,0101000020E610000045F2B64E33C64140D8E95B741F450BC0
TAN-000337,2021,EM.3024,5,2,7,241,246,487,TAN-000337,EM.3024,ENDASHANGWET,,TZA,Arusha,Karatu,Daa,-3.411477,35.487681,0101000020E6100000B7F0BC546CBE414015731074B44A0BC0
TAN-000340,2021,EM.9232,7,1,8,252,243,495,TAN-000340,EM.9232,MAKHOROMBA,,TZA,Arusha,Karatu,Mang'ola,-3.406337128,35.40600078,0101000020E6100000102064D5F7B34140D7481FAE2D400BC0
TAN-000343,2021,EM.8823,7,2,9,157,155,312,TAN-000343,EM.8823,MIDABINI,,TZA,Arusha,Karatu,Daa,-3.411477,35.487681,0101000020E6100000B7F0BC546CBE414015731074B44A0BC0
TAN-000346,2021,EM.658,4,11,15,330,313,643,TAN-000346,EM.658,ENDABASH,,TZA,Arusha,Karatu,Kansay,-3.608329995,35.58795929,0101000020E6100000F6F6004042CB4140549BCD1DDCDD0CC0
TAN-000349,2021,EM.8055,5,5,10,407,410,817,TAN-000349,EM.8055,QARU,,TZA,Arusha,Karatu,Endabash,-3.544202046,35.59348101,0101000020E61000009F5F8C2FF7CB4140EBE32F9A865A0CC0
TAN-000352,2021,EM.10415,4,2,6,199,176,375,TAN-000352,EM.10415,QARU SARAMAY,,TZA,Arusha,Karatu,Endabash,-3.537054,35.556763,0101000020E6100000B94F8E0244C74140E57CB1F7E24B0CC0
TAN-000355,2021,EM.13040,3,6,9,146,145,291,TAN-000355,EM.13040,DUUMA,,TZA,Arusha,Karatu,Endabash,-3.548184917,35.62934272,0101000020E61000001630604D8ED041405F6715C6AE620CC0
TAN-000358,2021,EM.1771,5,5,10,310,338,648,TAN-000358,EM.1771,ENDALLAH,,TZA,Arusha,Karatu,Endamarariek,-3.483080096,35.70861347,0101000020E6100000DA939FD8B3DA41402C59ED1859DD0BC0
